City_ID,City,Country,Current Conditions,Lat,Lng,Max Temp,Hotel Name
191,Knysna,ZA,broken clouds,-34.04,23.05,51.8,Protea Hotel by Marriott Knysna Quays
192,Kumluca,TR,clear sky,36.37,30.29,55.26,TurkuazKöy
195,Resistencia,AR,clear sky,-27.46,-58.98,73.99,Niyat Urban Hotel
197,Tazovskiy,RU,overcast clouds,67.47,78.7,24.82,TazHostel
198,Tonj,SS,scattered clouds,7.27,28.68,80.71,
199,Ibanda,TZ,broken clouds,-2.8,32.47,65.55,Lahe Hotel Mwanza
200,Lodwar,KE,broken clouds,3.12,35.6,85.01,Turkwel Lodge
201,Beaver Dam,US,overcast clouds,43.46,-88.84,55.4,Quality Inn & Suites Beaver Dam
202,Vila Franca Do Campo,PT,light intensity drizzle,37.72,-25.43,62.6,Pestana Bahia Praia
203,Geraldton,AU,clear sky,-28.77,114.6,66.2,Broadwater Mariner Resort
205,Sharan,RU,clear sky,54.82,54.0,29.68,
206,Am Timan,TD,clear sky,11.03,20.28,83.98,
207,Westport,US,clear sky,41.14,-73.36,61.0,The Westport Inn
208,Boyabat,TR,clear sky,41.47,34.77,36.73,Kolaz Palas Otel
209,Khorol,UA,clear sky,49.78,33.28,41.92,Castle Motel
210,Tramore,IE,scattered clouds,52.16,-7.15,45.0,Majestic Hotel
211,Itarema,BR,overcast clouds,-2.92,-39.92,79.29,Windvillage
212,Lodja,CD,overcast clouds,-3.48,23.43,70.84,
213,Beyneu,KZ,few clouds,45.32,55.2,38.35,NUR
214,Troitskiy,RU,overcast clouds,57.06,63.75,28.47,Kemping Poklevskoy
215,Saldanha,ZA,few clouds,-33.01,17.94,48.2,Blue Bay Lodge
217,Bouna,CI,overcast clouds,9.27,-3.0,77.7,Hotel Reserve
218,George,ZA,scattered clouds,-33.96,22.46,51.8,Protea Hotel by Marriott George King George
219,Dolores,AR,scattered clouds,-36.31,-57.68,50.95,Apart Hotel - Arianos
221,Norrtalje,SE,scattered clouds,59.76,18.7,42.01,Norrtälje Vandrarhem Hvilan
222,Bubaque,GW,clear sky,11.28,-15.83,79.09,Casa Dora
223,Adrar,MR,clear sky,20.5,-10.07,78.26,
224,Spring Hill,US,clear sky,28.48,-82.53,78.01,Room of The world By traveline Plus
225,Beloha,MG,clear sky,-25.17,45.05,71.38,
226,Kharakvasla,IN,scattered clouds,18.43,73.77,71.76,The Heritage Resort
227,Matadi,CD,overcast clouds,-5.82,13.45,78.93,Hotel Fortune
