City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Thinadhoo,MV,2020-04-06 21:25:48,0.53,72.93,84.22,66,25,1.97
171,Isnos,CO,2020-04-06 21:25:48,1.94,-76.24,64.42,53,100,2.19
172,Onokhino,RU,2020-04-06 21:25:48,56.92,65.54,28.4,92,90,17.9
173,Nsanje,MW,2020-04-06 21:25:48,-16.92,35.26,76.82,67,0,5.28
174,Ladario,BR,2020-04-06 21:25:49,-19.0,-57.6,84.2,74,75,6.93
175,Oistins,BB,2020-04-06 21:25:49,13.07,-59.53,84.2,70,40,13.87
176,Bathsheba,BB,2020-04-06 21:25:49,13.22,-59.52,84.2,70,40,13.87
177,Novoagansk,RU,2020-04-06 21:25:49,61.94,76.66,33.69,92,100,10.09
178,Soavinandriana,MG,2020-04-06 21:25:49,-19.17,46.73,59.29,65,55,3.27
179,Sao Joao Da Barra,BR,2020-04-06 21:15:56,-21.64,-41.05,80.6,78,6,13.87
180,Usinsk,RU,2020-04-06 21:25:49,65.99,57.53,13.66,95,100,9.46
181,Iturama,BR,2020-04-06 21:23:15,-19.73,-50.2,80.83,69,25,0.89
182,Bakchar,RU,2020-04-06 21:25:50,57.02,82.07,35.83,95,100,3.87
183,Poli,TZ,2020-04-06 21:25:50,-3.33,36.8,73.4,88,75,6.4
184,Mahon,ES,2020-04-06 21:25:50,39.89,4.27,53.6,81,29,5.82
185,Gornopravdinsk,RU,2020-04-06 21:25:50,60.05,69.9,32.32,97,100,7.52
186,Mabamba,TZ,2020-04-06 21:25:50,-3.6,30.5,64.63,62,6,1.52
187,Farafangana,MG,2020-04-06 21:25:50,-22.82,47.83,72.82,87,73,5.26
188,Lubumbashi,CD,2020-04-06 21:25:51,-11.66,27.48,64.89,55,94,1.72
189,Bonga,ET,2020-04-06 21:25:51,7.28,36.23,61.39,54,51,2.39
190,Victoria,HK,2020-04-06 21:25:51,22.29,114.16,64.4,82,40,5.82
191,Boa Vista,BR,2020-04-06 21:21:47,2.82,-60.67,78.8,88,75,4.7
192,Karaidel,RU,2020-04-06 21:25:51,55.83,56.91,28.53,92,99,9.24
193,Kapoeta,SS,2020-04-06 21:25:07,4.77,33.59,84.97,31,14,7.92
194,Port Blair,IN,2020-04-06 21:25:51,11.67,92.75,81.72,73,94,4.72
195,Isoka,ZM,2020-04-06 21:25:52,-10.16,32.63,63.91,65,86,1.1
196,Riyadh,SA,2020-04-06 21:24:28,24.69,46.72,82.4,24,41,4.7
